IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.157.38,443,443,true,FRA,Europe,Frankfurt,174,6.41
34.65.248.34,443,443,true,FRA,Europe,Frankfurt,183,6.41
34.65.45.220,443,443,true,FRA,Europe,Frankfurt,177,6.41
34.65.123.250,443,443,true,FRA,Europe,Frankfurt,171,6.40
34.154.134.249,443,443,true,FRA,Europe,Frankfurt,183,6.40
34.154.59.81,443,443,true,FRA,Europe,Frankfurt,182,6.40
34.116.167.147,443,443,true,FRA,Europe,Frankfurt,196,6.40
34.65.251.187,443,443,true,FRA,Europe,Frankfurt,167,6.40
34.116.152.18,443,443,true,FRA,Europe,Frankfurt,173,6.39
34.65.51.214,443,443,true,FRA,Europe,Frankfurt,176,6.33
34.65.249.150,443,443,true,FRA,Europe,Frankfurt,173,6.33
34.65.255.1,443,443,true,FRA,Europe,Frankfurt,179,6.31
34.65.77.80,443,443,true,FRA,Europe,Frankfurt,183,6.31
34.65.136.158,443,443,true,FRA,Europe,Frankfurt,180,6.30
34.154.87.34,443,443,true,FRA,Europe,Frankfurt,172,6.27
34.65.137.187,443,443,true,FRA,Europe,Frankfurt,167,6.25
34.154.67.16,443,443,true,FRA,Europe,Frankfurt,201,6.23
34.65.45.220,443,443,true,IAD,North America,Ashburn,175,6.21
34.118.76.96,443,443,true,LHR,Europe,London,230,6.16
34.65.252.4,443,443,true,FRA,Europe,Frankfurt,200,6.16
34.154.174.36,443,443,true,FRA,Europe,Frankfurt,185,6.16
34.116.183.192,443,443,true,FRA,Europe,Frankfurt,206,6.15
34.65.136.158,443,443,true,FRA,Europe,Frankfurt,162,6.15
34.65.251.187,443,443,true,FRA,Europe,Frankfurt,178,6.13
34.65.213.174,443,443,true,FRA,Europe,Frankfurt,226,6.13
34.118.118.82,443,443,true,FRA,Europe,Frankfurt,221,6.12
34.116.131.144,443,443,true,FRA,Europe,Frankfurt,191,6.10
34.118.84.230,443,443,true,CDG,Europe,Paris,186,6.09
